id1	id2	promoterdis	length1	length2	overlap	goverlap	sin1	sin2	sin3	snuc
AT1G71480	AT1G09253	407	1247	397	396	A	0	0	1	1
AT1G03970	AT1G04233	412	1128	392	391	A	0	0	1	0
AT1G03660	AT1G04203	418	2499	206	205	A	0	0	0	1
AT4G16400	AT4G06395	418	2107	425	418	D	0	0	1	0
AT2G41120	AT2G09230	419	1130	269	268	A	0	0	1	0
AT4G13580	AT4G06135	424	890	235	234	A	0	0	1	0
AT5G58540	AT5G08835	425	2182	487	425	D	0	0	1	1
AT1G01840	AT1G04067	440	822	515	440	D	0	0	1	0
AT1G02430	AT1G04123	445	1283	304	303	A	0	0	1	1
AT5G13510	AT5G02095	449	829	455	449	D	0	0	1	0
AT3G46230	AT3G07365	456	671	453	452	A	0	0	1	0
AT3G07120	AT3G01935	457	1264	503	457	D	0	0	1	1
AT1G59850	AT1G08273	466	1753	495	466	C	0	0	0	1
AT1G05835	AT1G04433	467	568	331	330	A	0	0	0	1
AT3G22210	AT3G04255	468	684	253	252	A	0	0	1	1
AT4G01026	AT4G03845	469	1365	269	268	A	0	0	0	1
AT4G30662	AT4G08315	475	882	454	453	A	0	0	1	1
AT2G26690	AT2G26692	476	3745	777	476	C	1	0	1	1
AT4G37230	AT4G37225	480	1164	695	480	D	0	0	1	0
AT2G07785	AT2G05255	482	902	333	332	A	0	0	0	1
AT5G65685	AT5G09435	492	5079	688	492	C	0	0	1	0
AT5G67300	AT5G09855	494	1985	258	257	A	0	0	1	0
AT1G29041	AT1G06213	496	791	494	493	A	0	0	1	0
AT5G44566	AT5G44569	497	180	705	179	B	0	0	1	1
AT5G06320	AT5G01255	505	965	281	280	A	0	0	1	0
AT3G08900	AT3G02085	511	1864	374	373	A	0	0	1	0
AT4G40063	AT4G40065	515	249	1083	248	B	0	0	0	1
AT1G17140	AT1G05297	515	1861	337	336	A	0	0	1	0
AT2G17972	AT2G07015	515	674	505	504	A	0	0	1	1
AT5G12390	AT5G01945	519	1692	227	226	A	0	0	1	0
AT5G53370	AT5G07985	527	2095	273	272	A	0	0	1	0
AT3G45590	AT3G07175	529	1315	305	304	A	0	0	1	0
AT1G22500	AT1G05753	532	1376	548	532	D	0	0	1	1
AT4G33240	AT4G08775	545	9116	387	386	A	0	0	1	1
AT2G45360	AT2G09605	546	923	237	236	A	0	0	1	0
AT1G62600	AT1G08543	549	1952	670	549	D	0	0	1	0
AT5G07110	AT5G01295	550	831	302	301	A	0	0	1	0
AT5G54300	AT5G08175	554	1408	344	343	A	0	0	1	0
AT1G74360	AT1G09437	561	3986	327	326	A	0	0	0	1
AT1G70340	AT1G09167	566	2712	299	298	A	0	0	1	1
AT2G35680	AT2G08750	567	2255	309	308	A	0	0	1	0
AT5G16560	AT5G02555	569	4904	435	434	A	0	0	1	1
AT4G27730	AT4G07895	571	2855	216	215	A	0	0	1	0
AT1G78040	AT1G09773	576	2645	841	576	D	0	0	1	1
AT1G36990	AT1G36992	577	3279	846	577	C	0	1	1	0
AT1G50900	AT1G07693	579	926	281	280	A	0	0	0	1
AT5G46910	AT5G06885	580	5041	268	267	A	0	0	1	0
AT5G58320	AT5G08830	588	2659	241	240	A	0	0	0	1
AT3G51970	AT3G08215	589	1244	236	235	A	0	0	1	1
AT3G57770	AT3G57765	590	1382	871	590	D	1	1	1	0
AT1G18890	AT1G05453	594	3155	671	594	C	0	0	1	0
AT2G45243	AT2G45245	598	601	2060	598	D	0	0	0	1
AT1G07473	AT1G04583	600	924	600	599	A	0	0	1	0
AT1G49360	AT1G07547	601	2235	591	590	A	0	0	1	1
AT4G23890	AT4G07190	603	877	760	603	C	0	0	1	1
AT4G19150	AT4G06875	614	1411	416	415	A	0	0	1	0
AT1G72070	AT1G09297	618	1298	398	397	A	0	0	1	0
AT1G76890	AT1G76892	619	2251	309	308	A	1	1	0	0
AT1G06460	AT1G04467	625	2393	472	471	A	0	0	0	1
AT4G22235	AT4G22233	625	704	1022	625	D	0	0	1	1
AT2G21185	AT2G21187	632	452	1206	451	B	0	1	1	1
AT2G29420	AT2G08340	638	898	636	635	A	0	0	1	0
AT2G33845	AT2G08635	638	1827	518	517	A	0	0	1	0
AT1G79720	AT1G09913	664	1889	434	433	A	0	0	1	1
AT4G35630	AT4G09225	664	1513	326	325	A	0	0	1	0
AT5G56220	AT5G08445	670	4073	633	632	A	0	0	1	1
AT2G31900	AT2G08485	687	10100	340	339	A	0	0	1	1
AT1G15040	AT1G05147	694	1497	553	552	A	0	0	1	0
AT5G18100	AT5G02875	695	1687	405	404	A	0	0	1	0
AT3G19000	AT3G19002	696	1511	1482	696	C	1	0	1	1
AT4G21310	AT4G06995	696	1038	458	457	A	0	0	1	1
AT4G17280	AT4G06685	697	1544	655	654	A	0	0	1	1
AT1G55190	AT1G08037	703	803	782	703	D	0	0	1	1
AT1G01725	AT1G04047	704	938	451	450	A	0	0	1	1
AT2G41110	AT2G09225	705	1117	609	608	A	0	0	1	1
AT4G02040	AT4G04055	706	801	782	706	D	0	0	1	1
AT1G50660	AT1G50659	711	3469	994	711	D	1	0	1	0
AT1G49720	AT1G07587	714	2522	620	619	A	0	0	1	0
AT4G12050	AT4G05945	717	2515	207	206	A	0	0	1	1
AT3G62830	AT3G09875	719	3172	731	719	D	0	0	1	0
AT3G58540	AT3G09135	720	830	271	270	A	0	0	0	1
AT2G38340	AT2G08960	721	1220	205	204	A	0	0	0	1
AT3G12510	AT3G02535	733	746	723	722	A	0	0	1	0
AT3G55310	AT3G08470	734	1283	329	328	A	0	0	1	1
AT2G47380	AT2G09885	739	1125	769	739	D	0	0	1	1
AT4G01575	AT4G03895	739	740	799	739	B	0	0	1	1
AT3G22070	AT3G22072	751	781	852	751	C	1	1	1	1
AT1G04290	AT1G04295	752	1237	655	654	A	0	1	1	1
AT4G01897	AT4G04005	754	1140	392	391	A	0	0	0	1
AT4G21550	AT4G07020	755	5711	309	308	A	0	0	0	1
AT1G73030	AT1G09363	756	1228	543	542	A	0	0	1	0
AT2G42280	AT2G09350	761	2237	681	680	A	0	0	1	0
AT3G07510	AT3G01995	761	1009	758	757	A	0	0	1	0
AT1G10850	AT1G04823	765	3018	766	765	A	0	0	1	0
AT3G49670	AT3G49668	765	3366	757	756	A	1	1	1	1
AT2G22090	AT2G07515	781	2144	802	781	C	0	0	1	0
AT2G23670	AT2G23672	788	679	1014	678	B	0	0	1	1
AT1G07020	AT1G04537	790	786	410	404	D	0	0	1	0
AT2G37550	AT2G37555	795	2414	1558	795	C	1	1	1	1
AT1G70760	AT1G09193	797	1149	974	797	D	0	0	1	0
AT3G24020	AT3G04615	797	942	832	797	D	0	0	1	1
AT1G65420	AT1G08753	798	1129	753	752	A	0	0	1	0
AT2G16365	AT2G06615	798	5401	204	203	A	0	0	1	1
AT3G47670	AT3G07795	809	1021	220	219	A	0	0	1	0
AT5G23230	AT5G03585	811	780	1099	779	B	0	0	1	1
AT1G50010	AT1G07603	817	2311	600	599	A	0	0	1	1
AT5G09445	AT5G09443	817	922	1051	817	D	0	0	1	1
AT3G48120	AT3G48115	826	2642	1757	826	D	0	1	1	1
AT1G23050	AT1G23052	828	825	828	823	C	0	1	1	1
AT1G29050	AT1G06217	837	2889	432	431	A	0	0	0	1
AT3G58790	AT3G58795	837	4222	1088	837	C	0	0	1	0
AT3G58710	AT3G09145	848	1859	345	344	A	0	0	1	1
AT4G34410	AT4G08985	849	1385	661	660	A	0	0	1	0
AT3G52610	AT3G52605	852	2161	998	852	D	1	0	1	1
AT3G09690	AT3G02215	854	2931	577	576	A	0	0	1	0
AT4G28170	AT4G08005	857	1203	247	246	A	0	0	1	0
AT3G12500	AT3G12502	860	1568	1099	860	C	0	0	1	1
AT1G09610	AT1G04707	864	1070	874	864	D	0	0	0	1
AT2G44860	AT2G09565	875	1678	223	222	A	0	0	1	0
AT5G41860	AT5G06235	878	768	853	741	C	0	0	1	1
AT1G18390	AT1G18382	883	4225	860	859	A	0	0	1	1
AT1G17860	AT1G05347	888	715	885	710	C	0	0	1	1
AT4G02200	AT4G04075	897	2038	379	378	A	0	0	1	0
AT5G04760	AT5G00990	917	1060	560	559	A	0	0	1	0
AT3G29637	AT3G05855	923	1016	334	333	A	0	0	0	1
AT2G19340	AT2G07175	924	2190	860	859	A	0	0	1	0
AT2G13660	AT2G13665	926	920	917	909	D	1	1	1	1
AT1G55265	AT1G08043	927	688	918	677	C	0	0	1	1
AT3G17390	AT3G03475	928	1730	891	890	A	0	0	1	0
AT3G20790	AT3G04035	932	2462	278	277	A	0	0	1	0
AT1G77990	AT1G77992	941	5586	948	941	C	0	0	1	1
AT2G20500	AT2G07305	941	925	967	924	B	0	0	1	1
AT4G24805	AT4G07285	943	945	418	417	A	0	0	1	0
AT3G62580	AT3G09795	946	994	387	386	A	0	0	1	1
AT3G41762	AT3G41761	948	1419	162	161	A	1	0	1	1
AT5G39670	AT5G05995	951	889	936	872	C	0	0	1	1
AT1G07130	AT1G07128	958	958	1169	957	B	1	1	1	1
AT2G34910	AT2G08695	964	1209	208	207	A	0	0	1	0
AT1G54710	AT1G07987	967	4387	366	365	A	0	0	1	0
AT4G36770	AT4G09385	968	1552	620	619	A	0	0	0	1
AT3G16240	AT3G03265	973	1471	445	444	A	0	0	1	1
AT1G10120	AT1G04773	1008	2918	741	740	A	0	0	0	1
AT1G79700	AT1G09907	1014	3363	355	354	A	0	0	0	1
AT1G23830	AT1G05837	1019	1129	1005	1004	A	0	0	1	1
AT3G15190	AT3G03025	1020	1388	482	481	A	0	0	1	0
AT3G01930	AT3G01065	1023	2630	507	506	A	0	0	1	1
AT5G25460	AT5G03985	1024	2258	1377	1024	D	0	0	0	1
AT1G74370	AT1G09443	1031	1238	341	340	A	0	0	1	0
AT2G41180	AT2G41178	1038	920	1361	919	B	0	0	1	1
AT3G05880	AT3G01795	1038	1428	262	261	A	0	0	1	1
AT1G26100	AT1G05977	1044	1477	472	471	A	0	0	1	1
AT1G08315	AT1G04647	1050	1093	1108	1050	C	0	0	1	1
AT2G33810	AT2G33815	1052	1072	1046	1045	A	0	0	0	1
AT4G38210	AT4G38215	1060	1218	1340	1060	C	1	1	1	1
AT1G54830	AT1G08003	1074	1378	222	221	A	0	0	1	0
AT5G15440	AT5G02415	1075	2166	769	768	A	0	0	1	0
AT1G56010	AT1G08087	1077	2561	809	808	A	0	0	0	1
AT5G67490	AT5G67488	1080	800	1000	718	D	1	1	1	1
AT1G32460	AT1G06573	1083	1047	1023	985	C	0	0	1	1
AT1G71950	AT1G09287	1094	1285	487	486	A	0	0	1	0
AT2G45800	AT2G09665	1094	1338	1095	1094	A	0	0	1	0
AT3G46845	AT3G07555	1102	1408	563	562	A	0	0	1	1
AT1G09860	AT1G04743	1102	1396	1030	1029	A	0	0	1	1
AT3G27810	AT3G05315	1109	4644	203	202	A	0	0	1	0
AT3G02910	AT3G01205	1119	966	1171	965	B	0	0	1	1
AT1G74660	AT1G09497	1120	2818	248	247	A	0	0	0	1
AT2G34180	AT2G08655	1124	1722	665	664	A	0	0	0	1
AT5G18470	AT5G02895	1127	1339	1169	1127	D	0	0	1	1
AT2G36220	AT2G08780	1129	1218	844	843	A	0	0	1	0
AT1G01750	AT1G04053	1131	1123	847	837	C	0	0	1	1
AT5G65630	AT5G09405	1137	3743	1138	1137	A	0	0	1	0
AT2G22850	AT2G07850	1139	2334	856	855	A	0	0	1	1
AT1G26220	AT1G26218	1163	753	1216	752	B	0	1	1	1
AT1G11090	AT1G04837	1164	1146	1243	1145	B	0	0	1	1
AT1G75440	AT1G09553	1172	1595	390	389	A	0	0	1	1
AT1G06760	AT1G04503	1179	1186	484	483	A	0	0	1	0
AT1G20070	AT1G05523	1180	1139	1157	1114	D	0	0	1	0
AT1G67330	AT1G67328	1188	1116	1438	1115	B	1	0	1	1
AT1G10110	AT1G04767	1196	1375	1041	1040	A	0	0	1	0
AT4G15820	AT4G06340	1203	2219	1193	1192	A	0	0	0	1
AT2G01410	AT2G03975	1205	1296	1129	1128	A	0	0	1	1
AT3G17890	AT3G03595	1218	1315	241	240	A	0	0	0	1
AT1G34842	AT1G34844	1220	1187	1750	1186	B	1	1	0	0
AT4G28160	AT4G28162	1220	686	1970	685	B	0	0	1	0
AT1G21880	AT1G05687	1239	2217	842	841	A	0	0	1	0
AT5G12380	AT5G01935	1245	1520	1446	1245	D	0	0	1	0
AT5G17360	AT5G02695	1261	1377	791	790	A	0	0	1	0
AT2G40815	AT2G09200	1262	1655	587	586	A	0	0	1	1
AT4G16680	AT4G06415	1262	4334	467	466	A	0	0	1	1
AT1G15700	AT1G05183	1265	1259	1301	1258	B	0	0	1	0
AT4G34330	AT4G34332	1266	1286	1175	1174	A	1	0	0	0
AT2G21950	AT2G07475	1272	1473	1335	1272	C	0	0	1	0
AT4G26490	AT4G26488	1283	1032	1540	1031	B	0	1	1	1
AT2G35860	AT2G35859	1287	2298	1764	1287	D	0	1	1	1
AT5G58960	AT5G08880	1287	2759	613	612	A	0	0	1	0
AT5G53905	AT5G53902	1288	1107	702	519	D	1	0	0	0
AT1G80320	AT1G80325	1289	1115	3467	1114	B	1	0	1	1
AT4G34131	AT4G08935	1292	1761	283	282	A	0	0	1	1
AT1G06923	AT1G04533	1303	901	560	156	C	0	0	1	1
AT2G37340	AT2G08865	1303	2555	852	851	A	0	0	0	1
AT4G22370	AT4G07085	1304	1434	578	577	A	0	0	0	1
AT3G07568	AT3G02015	1305	1531	253	252	A	0	0	1	0
AT2G24540	AT2G24545	1313	1246	2356	1245	B	1	1	1	1
AT1G16890	AT1G05277	1321	2055	729	728	A	0	0	0	1
AT1G52580	AT1G07823	1321	1450	1307	1306	A	0	0	0	1
AT1G30280	AT1G30282	1336	2061	1432	1336	C	1	1	1	0
AT1G75090	AT1G09527	1337	2279	444	443	A	0	0	1	0
AT2G19570	AT2G19572	1338	1221	1572	1220	B	1	1	1	1
AT5G01580	AT5G00780	1341	1093	1524	1092	B	0	0	1	0
AT1G69588	AT1G69587	1347	884	3824	883	B	1	1	1	1
AT4G15800	AT4G06335	1348	1209	435	294	C	0	0	1	0
AT4G01595	AT4G01593	1350	1268	1534	1267	B	1	1	1	0
AT5G54170	AT5G08135	1350	2165	315	314	A	0	0	1	0
AT5G41320	AT5G06155	1350	2059	1051	1050	A	0	0	1	1
AT2G32180	AT2G32179	1368	971	1536	970	B	1	0	1	0
AT3G59940	AT3G09275	1377	1449	1389	1377	D	0	0	1	1
AT5G66280	AT5G09595	1379	1354	1637	1353	B	0	0	1	1
AT4G40080	AT4G40085	1388	1404	1509	1388	D	0	0	1	1
AT3G11570	AT3G02465	1391	2521	475	474	A	0	0	1	1
AT5G06860	AT5G06865	1395	1188	1550	1187	B	1	1	1	1
AT4G03140	AT4G04435	1398	1722	936	935	A	0	0	1	1
AT1G75080	AT1G09523	1399	2572	220	219	A	0	0	1	0
AT3G51240	AT3G51238	1407	1378	1670	1377	B	1	1	1	1
AT1G64190	AT1G08657	1416	1662	578	577	A	0	0	1	0
AT2G45530	AT2G09640	1428	948	1256	774	C	0	0	1	1
AT3G01470	AT3G01035	1430	1902	345	344	A	0	0	1	0
AT1G78060	AT1G09777	1431	3201	349	348	A	0	0	1	0
AT3G17800	AT3G03535	1434	1893	597	596	A	0	0	1	1
AT2G47580	AT2G09945	1435	1685	1034	1033	A	0	0	1	1
AT1G28680	AT1G28685	1454	1724	1721	1454	D	1	1	1	1
AT1G20520	AT1G20515	1489	696	1981	695	B	0	0	1	1
AT2G35640	AT2G35637	1504	1505	1806	1504	B	1	1	0	0
AT3G22120	AT3G22121	1504	1515	1372	1371	A	1	0	0	0
AT3G01200	AT3G01202	1512	1769	1562	1512	C	1	0	1	1
AT1G25211	AT1G05927	1520	1526	1432	1431	A	0	0	1	0
AT4G36810	AT4G36808	1528	1798	1650	1528	D	1	1	1	1
AT4G11660	AT4G05910	1531	2080	352	351	A	0	0	0	1
AT1G78130	AT1G09783	1535	1763	1582	1535	D	0	0	1	1
AT1G51402	AT1G07743	1538	1343	1013	816	C	0	0	1	1
AT4G37890	AT4G37895	1539	2352	1634	1539	C	0	0	1	1
AT2G19580	AT2G19582	1548	3020	1617	1548	C	0	0	1	1
AT1G31490	AT1G31485	1550	2067	1332	1331	A	1	0	0	1
AT3G57970	AT3G57965	1573	1452	2181	1451	B	1	0	0	0
AT5G28919	AT5G04905	1593	1548	1859	1547	B	0	0	1	1
AT5G59450	AT5G08920	1611	2324	1587	1586	A	0	0	1	1
AT1G69270	AT1G09053	1615	1966	1647	1615	E	0	0	1	0
AT3G21780	AT3G21781	1615	1616	1616	1615	E	0	0	1	1
AT1G06000	AT1G06002	1620	1568	1634	1567	B	1	1	1	1
AT2G45680	AT2G45685	1624	1648	1680	1624	C	1	1	1	0
AT3G45600	AT3G07205	1633	2079	1069	1068	A	0	0	0	1
AT2G35660	AT2G08740	1636	2003	297	296	A	0	0	1	1
AT1G52340	AT1G07803	1637	1754	349	348	A	0	0	1	0
AT4G38250	AT4G09695	1641	1576	1642	1575	B	0	0	1	1
AT1G53480	AT1G07887	1645	1666	1039	1038	A	0	0	1	1
AT1G48320	AT1G48315	1655	903	1901	902	B	0	1	1	1
AT5G36001	AT5G36002	1662	1796	1826	1662	D	0	1	1	0
AT2G34390	AT2G08660	1677	1502	1608	1431	D	0	0	1	0
AT1G50020	AT1G07607	1689	1694	621	620	A	0	0	1	0
AT1G06800	AT1G04513	1708	2048	1101	1100	A	0	0	1	0
AT4G13510	AT4G13505	1708	1703	1892	1702	B	0	0	1	1
AT1G02310	AT1G04103	1709	2699	2800	1709	C	0	0	1	1
AT2G02720	AT2G04285	1713	2101	790	789	A	0	0	0	1
AT1G29355	AT1G29357	1717	1492	1835	1491	B	1	0	1	0
AT1G54160	AT1G07943	1720	2117	490	489	A	0	0	1	0
AT5G54070	AT5G54075	1726	1669	361	302	C	1	0	0	0
AT1G75300	AT1G75295	1735	1556	2417	1555	B	1	1	1	1
AT1G68290	AT1G08973	1764	1768	1882	1764	D	0	0	1	1
AT2G43350	AT2G09455	1777	1956	381	380	A	0	0	1	1
AT5G01210	AT5G01215	1779	1780	1793	1779	B	1	0	1	1
AT4G02620	AT4G04225	1781	2055	425	424	A	0	0	1	1
AT2G35940	AT2G35945	1788	3403	1246	1245	A	0	0	1	1
AT2G36790	AT2G36792	1801	1658	2024	1657	B	1	0	0	0
AT3G24520	AT3G24518	1807	1809	4614	1807	D	1	1	1	1
AT4G37430	AT4G37432	1819	1849	1957	1819	D	1	1	1	1
AT5G03670	AT5G03668	1821	3094	1867	1821	D	1	1	1	1
AT2G30360	AT2G30362	1822	1867	2735	1822	C	1	1	1	1
AT4G38180	AT4G09685	1826	3230	1791	1790	A	0	0	1	1
AT1G14030	AT1G05047	1841	2223	448	447	A	0	0	1	0
AT2G43235	AT2G09430	1854	2138	782	781	A	0	0	1	0
AT1G78270	AT1G78265	1866	1855	1865	1852	D	1	1	1	1
AT2G04280	AT2G04755	1866	1955	1789	1788	A	0	0	1	0
AT1G62180	AT1G08477	1868	1993	782	781	A	0	0	1	0
AT2G44260	AT2G44255	1875	1884	2103	1875	D	1	0	1	1
AT3G63470	AT3G09965	1895	2487	462	461	A	0	0	1	1
AT1G16490	AT1G16489	1905	1434	1949	1433	B	1	1	1	1
AT5G49130	AT5G49138	1915	2096	1982	1915	D	0	0	1	0
AT4G33300	AT4G08785	1943	6071	2029	1943	C	0	0	1	1
AT1G15000	AT1G15002	1959	1454	2056	1453	B	0	0	1	1
AT1G02420	AT1G04117	1961	1572	1541	1150	C	0	0	1	1
AT1G29040	AT1G06213	1964	2142	494	493	A	0	0	1	0
AT3G52070	AT3G52072	1967	749	2624	748	B	0	0	1	1
AT4G39840	AT4G39838	1969	2049	2077	1969	D	1	1	1	1
AT1G03100	AT1G04163	1977	2817	1424	1423	A	0	0	1	0
AT5G52100	AT5G07885	1985	2140	2106	1985	D	0	0	1	1
AT5G42090	AT5G42092	1987	2560	1891	1890	A	1	1	1	1
AT2G45310	AT2G45315	1991	1962	1984	1953	C	1	1	1	1
AT1G03410	AT1G04183	2006	3248	2007	2006	A	0	0	1	1
AT1G12150	AT1G04933	2010	2122	1450	1449	A	0	0	1	1
AT1G03550	AT1G03545	2015	2334	2032	2015	C	0	1	1	1
AT1G56160	AT1G56165	2018	1204	1644	828	C	1	0	0	0
AT4G12040	AT4G05940	2021	2139	199	198	A	0	0	1	0
AT3G05770	AT3G01755	2033	2213	237	236	A	0	0	1	0
AT4G03190	AT4G04455	2033	2224	423	422	A	0	0	1	0
AT1G06790	AT1G04507	2053	2605	248	247	A	0	0	0	1
AT1G53500	AT1G07893	2074	2814	1439	1438	A	0	0	1	1
AT1G71490	AT1G09257	2079	2921	742	741	A	0	0	0	1
AT3G62090	AT3G09745	2082	2163	2341	2082	C	0	0	1	1
AT2G16910	AT2G06795	2089	2534	440	439	A	0	0	0	1
AT1G25097	AT1G25098	2093	3056	2570	2093	C	1	1	0	0
AT5G66650	AT5G09665	2121	4010	242	241	A	0	0	1	0
AT4G38540	AT4G38545	2128	1781	2367	1780	B	1	0	1	1
AT1G05560	AT1G05562	2135	2136	2136	2135	E	1	0	1	0
AT4G16670	AT4G06410	2152	2636	1092	1091	A	0	0	1	1
AT5G16030	AT5G02515	2153	2501	1063	1062	A	0	0	1	0
AT1G69570	AT1G69572	2164	2188	1241	1240	A	1	0	1	1
AT1G72850	AT1G72852	2169	1603	1756	1188	C	1	1	1	1
AT4G26790	AT4G26795	2180	1920	2429	1919	B	0	0	1	1
AT2G04850	AT2G04852	2182	1434	1318	568	C	1	1	1	1
AT5G64000	AT5G09175	2201	2007	2435	2006	B	0	0	1	1
AT5G59730	AT5G59732	2215	2211	2254	2210	B	1	1	1	1
AT2G31390	AT2G08435	2218	2779	1754	1753	A	0	0	1	1
AT3G63440	AT3G63445	2233	2380	3801	2233	D	0	1	1	1
AT1G01450	AT1G01448	2239	1413	3076	1412	B	1	0	1	0
AT1G74420	AT1G09453	2241	2195	934	886	D	0	0	1	1
AT2G20720	AT2G07335	2252	2299	1732	1731	A	0	0	0	1
AT3G54630	AT3G54625	2258	1912	2351	1911	B	0	1	1	1
AT4G25480	AT4G07385	2259	1391	898	28	D	0	0	1	1
AT5G60020	AT5G60022	2275	2487	3121	2275	D	0	0	1	1
AT2G37360	AT2G37362	2278	2417	2523	2278	C	1	0	1	1
AT4G31400	AT4G31398	2283	2133	921	769	C	0	0	1	1
AT1G07725	AT1G07728	2287	2472	2415	2287	C	1	1	1	1
AT1G07120	AT1G07119	2309	1869	3624	1868	B	1	0	1	1
AT1G12820	AT1G04977	2313	2482	638	637	A	0	0	1	1
AT3G59070	AT3G59068	2322	2151	850	677	D	0	0	1	0
AT3G46660	AT3G46658	2328	1904	2511	1903	B	1	1	1	1
AT4G20360	AT4G20362	2332	2600	2335	2332	D	1	0	1	1
AT1G11050	AT1G04833	2338	2357	2348	2338	D	0	0	1	1
AT4G36030	AT4G36032	2357	2441	2389	2357	C	1	1	1	1
AT5G24620	AT5G03805	2392	2411	509	508	A	0	0	1	1
AT2G42250	AT2G42247	2393	1727	2534	1726	B	1	0	0	0
AT3G21760	AT3G21755	2403	1690	3183	1689	B	0	0	1	0
AT3G03700	AT3G03702	2452	2056	2582	2055	B	0	1	0	1
AT5G01540	AT5G01542	2455	2494	2577	2455	C	0	0	0	1
AT1G18420	AT1G18415	2457	2360	2848	2359	B	1	1	1	1
AT2G24760	AT2G24755	2467	2495	7767	2467	D	0	1	0	0
AT1G53800	AT1G53801	2475	2798	963	962	A	1	0	0	0
AT5G44560	AT5G44562	2475	2473	782	778	C	1	1	0	1
AT5G42820	AT5G06395	2482	3505	884	883	A	0	0	1	0
AT3G12480	AT3G02505	2490	2598	208	207	A	0	0	1	0
