id1	id2	promoterdis	length1	length2	overlap	overlapc	sin1	sin2	sin3	snuc
AT5G25640	AT5G25750	289	1659	260	259	B	1	0	0	0
AT4G24026	AT4G24030	290	511	387	290	A	0	1	0	0
AT5G41150	AT5G41160	298	4654	1318	298	A	1	0	1	1
AT2G45320	AT2G45330	299	2082	2164	299	A	1	1	1	1
AT1G05720	AT1G05730	303	1385	2033	303	A	1	1	1	1
AT2G38570	AT2G38580	322	2195	4040	322	A	1	1	1	1
AT5G50562	AT5G50565	329	174	2066	173	B	1	1	0	0
AT5G47960	AT5G47970	330	1147	3670	330	A	1	0	1	1
AT2G18270	AT2G18280	332	249	2249	248	B	1	1	1	0
AT2G33685	AT2G33690	341	381	490	341	A	0	0	1	0
AT2G31900	AT2G31910	362	10100	4526	362	A	1	0	1	1
AT5G66330	AT5G66335	380	1506	435	380	A	0	0	1	1
AT2G27505	AT2G27507	383	1333	256	255	B	0	0	1	0
AT2G32890	AT2G32900	387	1400	4021	387	A	1	1	1	0
AT5G04470	AT5G04475	396	792	338	337	B	0	0	1	0
AT1G21770	AT1G21780	397	516	2133	397	A	1	1	1	1
AT3G61530	AT3G61540	404	2386	2526	404	A	1	1	1	1
AT1G29840	AT1G29850	406	2135	2623	406	A	1	1	1	1
AT1G72750	AT1G72755	408	1071	321	320	B	0	0	1	0
AT1G34315	AT1G34317	409	2416	444	409	A	0	0	0	1
AT3G49080	AT3G49100	409	2525	2185	409	A	1	1	1	1
AT5G67380	AT5G67385	416	3114	3768	416	A	0	1	1	1
AT1G55330	AT1G55335	419	419	364	362	A	0	0	1	1
AT4G21510	AT4G21515	421	1581	445	421	A	0	0	1	0
AT1G62510	AT1G62515	444	790	694	444	A	0	0	1	0
AT1G08000	AT1G08005	445	2487	444	443	B	1	0	1	0
AT3G10525	AT3G10527	455	826	375	374	B	0	0	1	0
AT2G18969	AT2G18970	458	575	640	458	A	0	0	1	1
AT4G35480	AT4G35485	458	871	496	458	A	0	0	1	1
AT1G70470	AT1G70475	462	765	1572	462	A	0	0	1	0
AT1G21160	AT1G21170	465	5365	6814	465	A	1	1	1	1
AT1G67855	AT1G67856	472	621	1287	472	A	1	0	0	0
AT5G15580	AT5G15581	488	3857	312	311	B	1	1	0	1
AT3G54910	AT3G54920	495	2842	3430	495	A	1	1	1	1
AT1G68723	AT1G68725	533	566	981	533	A	0	0	1	1
AT5G26980	AT5G26990	536	2960	3409	536	A	1	1	1	1
AT5G11970	AT5G11975	547	976	395	394	B	0	0	1	1
AT1G15825	AT1G15830	548	536	2558	535	B	0	0	1	0
AT1G14450	AT1G14453	549	1388	856	549	A	0	0	1	0
AT5G05653	AT5G05657	578	1198	582	578	A	0	0	1	0
AT2G27389	AT2G27390	594	788	405	404	B	0	0	1	1
AT5G18290	AT5G18300	595	3341	444	443	B	1	0	1	1
AT1G07500	AT1G07510	596	266	7965	265	B	1	1	1	1
AT3G06435	AT3G06436	606	2659	657	606	A	0	0	1	1
AT2G47200	AT2G47210	612	757	4718	612	A	0	0	1	1
AT2G23980	AT2G23985	620	4319	1606	620	A	0	1	1	1
AT2G13550	AT2G13555	623	1519	504	503	B	0	0	1	1
AT2G22460	AT2G22465	629	1095	430	429	B	0	0	0	1
AT2G30760	AT2G30766	638	2452	2898	638	A	0	0	0	1
AT3G02780	AT3G02790	661	3106	493	492	B	1	1	1	1
AT4G22460	AT4G22463	662	700	575	574	B	0	0	1	0
AT1G23980	AT1G23985	665	1300	1693	665	A	0	0	1	1
AT5G66052	AT5G66053	681	788	147	146	B	1	0	0	0
AT1G26880	AT1G26890	688	2973	1658	688	A	1	0	1	1
AT5G07571	AT5G07572	715	992	841	715	A	0	0	0	1
AT5G49640	AT5G49645	719	680	717	676	A	0	0	1	0
AT5G10430	AT5G10435	724	775	585	584	B	0	0	1	1
AT4G00163	AT4G00165	730	733	598	597	B	0	0	1	0
AT1G55365	AT1G55370	735	1049	2682	735	A	0	0	1	1
AT3G44430	AT3G44435	776	1314	429	428	B	0	0	1	1
AT1G30755	AT1G30757	780	4030	805	780	A	0	0	1	1
AT3G27415	AT3G27416	826	927	522	521	B	1	0	1	0
AT5G51580	AT5G51585	842	958	792	791	B	0	0	1	0
AT1G64790	AT1G64795	849	18607	270	269	B	0	0	1	0
AT5G61930	AT5G61940	867	3727	5010	867	A	0	0	1	1
AT2G25880	AT2G25890	888	3540	877	876	B	0	0	1	0
AT5G61490	AT5G61495	888	1228	718	717	B	1	0	0	1
AT4G23960	AT4G23970	915	1140	303	302	B	0	0	0	1
AT1G72540	AT1G72545	929	1793	678	677	B	0	0	0	1
AT3G53235	AT3G53240	929	858	5413	857	B	0	0	0	1
AT3G59400	AT3G59410	945	1296	10560	945	A	0	0	1	1
AT2G29480	AT2G29485	975	1124	849	848	B	0	0	1	1
AT3G58100	AT3G58110	994	2570	2968	994	A	0	1	1	1
AT4G12550	AT4G12555	1001	654	953	604	A	0	0	1	1
AT2G02490	AT2G02493	1014	1244	914	913	B	0	0	1	0
AT1G03410	AT1G03420	1019	3248	1076	1019	A	1	1	0	0
AT3G20898	AT3G20900	1035	1000	687	650	A	0	0	1	1
AT2G41750	AT2G41760	1058	1193	2683	1058	A	1	1	1	1
AT4G03500	AT4G03490	1067	3613	4984	1067	A	1	0	1	1
AT5G06640	AT5G06645	1095	2215	692	691	B	0	0	1	1
AT2G35930	AT2G35935	1118	1616	988	987	B	0	0	1	0
AT3G01470	AT3G01475	1118	1902	612	611	B	0	0	1	1
AT3G26510	AT3G26512	1131	2575	496	495	B	0	0	1	0
AT5G10695	AT5G10700	1152	445	849	140	A	1	1	1	1
AT4G19645	AT4G19650	1157	3074	4325	1157	A	0	0	1	1
AT5G59890	AT5G59895	1163	1372	183	182	B	0	0	1	0
AT2G05753	AT2G05755	1176	547	3184	546	B	1	1	0	0
AT3G17650	AT3G17655	1224	2927	1376	1224	A	0	0	1	1
AT5G05085	AT5G05090	1225	1356	1136	1135	B	0	0	1	1
AT5G53810	AT5G53815	1227	2871	435	434	B	1	1	0	0
AT3G06868	AT3G06870	1230	1393	1114	1113	B	1	1	1	0
AT2G04378	AT2G04380	1233	1847	1126	1125	B	1	1	1	1
AT5G56980	AT5G56985	1267	1473	429	428	B	0	0	1	0
AT2G44993	AT2G45000	1271	1402	3716	1271	A	0	0	1	0
AT1G21310	AT1G21313	1276	1744	522	521	B	0	0	1	1
AT1G53970	AT1G53980	1309	1331	830	829	B	0	0	1	1
AT5G22140	AT5G22145	1313	1614	603	602	B	0	0	1	0
AT5G12440	AT5G12450	1317	7074	240	239	B	0	1	0	0
AT1G12310	AT1G12320	1403	1375	3719	1374	B	1	0	1	1
AT4G30660	AT4G30662	1411	687	882	156	A	1	1	1	1
AT3G01950	AT3G01960	1412	545	1492	544	B	0	0	1	0
AT5G13290	AT5G13295	1425	2537	369	368	B	0	0	1	1
AT1G53480	AT1G53490	1445	1666	3686	1445	A	1	1	1	1
AT2G34325	AT2G34330	1461	1476	863	862	B	0	0	1	1
AT4G33465	AT4G33467	1487	1243	617	371	A	0	0	1	1
AT4G01895	AT4G01897	1523	423	1140	38	A	1	0	1	1
AT2G07655	AT2G07776	1578	881	883	184	A	0	0	1	1
AT5G15760	AT5G15770	1593	1617	567	566	B	0	1	1	1
AT1G80160	AT1G80165	1604	1718	351	350	B	0	0	1	1
AT4G20830	AT4G20835	1649	2240	1570	1569	B	0	0	1	1
AT2G37910	AT2G37920	1672	699	1732	698	B	0	0	0	1
AT2G29430	AT2G29440	1677	474	1602	397	A	1	1	1	1
AT1G63380	AT1G63390	1717	1261	507	49	A	1	1	0	1
AT2G46200	AT2G46210	1717	4695	1966	1717	A	1	1	1	1
AT5G20640	AT5G20650	1727	1126	624	21	A	0	0	1	1
AT3G52530	AT3G52526	1731	1564	3079	1563	B	0	0	1	0
AT1G72060	AT1G72070	1741	835	1298	390	A	1	1	1	1
AT5G61650	AT5G61660	1754	1799	1293	1292	B	0	0	1	1
AT1G08250	AT1G08260	1755	1834	18039	1755	A	1	0	1	1
AT1G29535	AT1G29540	1770	1979	760	759	B	0	0	1	1
AT3G03740	AT3G03750	1770	4793	2195	1770	A	1	1	1	1
AT5G23030	AT5G23035	1782	1668	530	414	A	0	0	1	0
AT1G68585	AT1G68590	1811	964	1008	159	A	0	0	1	1
AT4G22520	AT4G22530	1812	357	1983	356	B	0	0	1	0
AT5G09990	AT5G09995	1812	531	1336	53	A	0	0	1	1
AT2G40160	AT2G40165	1814	2086	1645	1644	B	0	0	1	1
AT3G20670	AT3G20680	1814	695	1155	34	A	0	0	1	1
AT1G14150	AT1G14160	1818	891	1009	80	A	0	0	0	1
AT4G00525	AT4G00530	1862	1160	717	13	A	1	0	1	1
AT5G05365	AT5G05370	1867	826	1086	43	A	1	1	1	1
AT3G22670	AT3G22680	1869	1824	2876	1823	B	0	1	1	1
AT1G06530	AT1G06540	1876	1120	2041	1119	B	1	0	1	1
AT1G52820	AT1G52825	1880	1237	665	20	A	1	1	1	1
AT1G06320	AT1G06330	1906	927	1201	220	A	0	0	1	1
AT5G51105	AT5G51110	1914	545	1988	544	B	0	0	1	0
AT1G68725	AT1G68730	1914	981	1027	92	A	0	0	1	1
AT5G41680	AT5G41685	1923	1721	476	272	A	1	1	1	1
AT5G15530	AT5G15533	1929	1751	180	0	A	0	0	0	1
AT5G02560	AT5G02570	1951	1992	522	521	B	1	0	1	1
AT3G07590	AT3G07600	1971	1544	906	477	A	1	0	1	1
AT1G24880	AT1G24822	1981	2172	2886	1981	A	1	1	0	0
AT1G71740	AT1G71750	1992	586	1409	1	A	0	0	1	1
AT1G73440	AT1G73445	1996	1462	735	199	A	1	0	0	0
AT4G28280	AT4G28290	2012	2016	1618	1617	B	1	0	1	0
AT4G16400	AT4G16410	2022	2107	687	686	B	1	0	1	1
AT3G55890	AT3G55900	2043	1832	488	275	A	0	1	1	1
AT2G48070	AT2G48075	2052	1751	852	549	A	0	0	1	1
AT2G31090	AT2G31100	2085	978	1439	330	A	1	1	0	1
AT3G63255	AT3G63260	2085	676	2056	645	A	0	0	1	0
AT4G37409	AT4G37410	2087	2143	2061	2060	B	1	1	1	1
AT1G49225	AT1G49230	2097	5079	839	838	B	0	0	1	1
AT1G26290	AT1G26300	2116	1322	3923	1321	B	0	1	1	1
AT2G22088	AT2G22090	2122	666	2144	665	B	1	0	0	1
AT1G76750	AT1G76760	2124	682	1480	36	A	1	0	1	0
AT4G10100	AT4G10110	2124	781	1462	117	A	1	1	1	1
AT2G41110	AT2G41120	2138	1117	1130	107	A	1	1	1	1
AT3G16040	AT3G16050	2140	872	1270	0	A	0	1	1	1
AT2G43550	AT2G43560	2145	609	1558	20	A	0	0	1	1
AT2G28670	AT2G28671	2155	2094	1834	1771	A	0	0	1	0
AT4G18197	AT4G18203	2178	2077	916	813	A	0	0	0	1
AT1G74055	AT1G74060	2207	586	2221	585	B	1	1	1	1
AT5G24314	AT5G24316	2225	1445	794	12	A	0	0	1	0
AT3G24100	AT3G24110	2228	934	1315	19	A	0	0	1	1
AT2G01400	AT2G01410	2239	1450	1296	505	A	1	1	1	1
AT5G59230	AT5G59240	2247	962	1306	19	A	0	1	1	0
AT1G51390	AT1G51400	2253	1797	481	23	A	0	0	1	1
AT2G32645	AT2G32650	2257	1677	992	410	A	1	0	0	0
AT3G18773	AT3G18775	2267	1428	1685	844	A	0	0	1	1
AT2G41340	AT2G41342	2304	2350	523	522	B	0	0	1	1
AT3G54420	AT3G54430	2316	2362	1596	1595	B	1	0	1	1
AT4G00760	AT4G00770	2320	6453	2321	2320	A	1	0	1	1
AT2G07787	AT2G07658	2323	1832	1615	1122	A	0	0	0	1
AT5G58640	AT5G58650	2338	1786	556	2	A	1	0	1	1
AT1G69325	AT1G69330	2343	701	1857	213	A	0	0	1	1
AT1G71865	AT1G71866	2345	1445	1035	133	A	1	1	0	0
AT2G01860	AT2G01870	2345	1790	936	379	A	1	0	1	1
AT5G02065	AT5G02070	2351	2466	2326	2325	B	0	0	1	0
AT5G10600	AT5G10605	2355	1858	2197	1698	A	0	0	1	1
AT1G65350	AT1G65347	2378	4758	794	793	B	0	1	0	0
AT1G78476	AT1G78480	2381	2303	863	783	A	0	0	1	1
AT2G33450	AT2G33460	2382	908	1822	346	A	0	0	1	1
AT4G33355	AT4G33360	2387	834	1569	14	A	1	1	0	0
AT1G01160	AT1G01170	2392	1706	738	50	A	1	1	1	1
AT5G18140	AT5G18150	2404	2393	716	703	A	1	1	1	1
AT3G04890	AT3G04900	2405	2564	717	716	B	0	0	1	1
AT5G42290	AT5G42300	2411	619	2413	618	B	1	1	1	0
AT2G18390	AT2G18400	2413	1361	1081	27	A	1	1	1	1
AT5G04750	AT5G04760	2415	1385	1060	28	A	1	1	1	1
AT5G57760	AT5G57770	2433	551	2287	403	A	1	1	0	0
AT4G03140	AT4G03150	2453	1722	913	180	A	0	1	1	1
AT2G39975	AT2G39980	2465	532	2510	531	B	0	0	1	0
AT5G54165	AT5G54170	2476	396	2165	83	A	1	0	1	1
AT3G07500	AT3G07510	2478	1563	1009	92	A	1	0	1	1
AT5G02710	AT5G02720	2482	1890	1610	1016	A	0	0	1	0
AT3G52105	AT3G52110	2495	670	1900	73	A	0	1	1	1
AT3G16980	AT3G16990	2501	1436	1771	704	A	0	0	1	1
AT1G19540	AT1G19550	2505	2638	708	707	B	0	0	1	0
AT1G74030	AT1G74035	2506	2722	333	332	B	0	0	1	0
AT3G04300	AT3G04310	2523	932	1610	17	A	1	0	1	1
AT5G48200	AT5G48205	2532	2016	1781	1263	A	0	0	1	0
AT3G04440	AT3G04443	2540	1967	2698	1966	B	0	0	1	1
AT5G58790	AT5G58800	2542	1252	1378	86	A	1	0	1	1
AT4G30845	AT4G30850	2551	566	2247	260	A	1	0	1	1
AT3G27809	AT3G27810	2554	987	4644	986	B	0	0	1	0
AT4G10910	AT4G10920	2554	744	2555	743	A	1	0	1	0
AT2G39375	AT2G39380	2569	2667	2078	2077	B	0	0	1	1
AT1G75780	AT1G75785	2575	2588	639	638	B	0	0	1	0
AT3G19680	AT3G19690	2575	2040	637	100	A	0	0	1	0
AT4G37480	AT4G37483	2586	2706	228	227	B	0	1	0	0
AT5G57820	AT5G57830	2597	746	1908	55	A	1	1	1	0
AT5G11810	AT5G11820	2602	2071	632	99	A	1	1	0	0
AT5G51380	AT5G51390	2602	2158	453	7	A	1	0	1	1
AT4G22510	AT4G22513	2608	2622	526	525	B	1	0	0	0
AT3G01830	AT3G01840	2624	3240	2067	2066	B	1	1	1	1
AT2G25950	AT2G25964	2627	2013	649	33	A	1	1	1	1
AT5G41860	AT5G41870	2642	768	1899	23	A	0	0	1	1
AT1G68290	AT1G68300	2670	1768	997	93	A	1	1	1	1
AT4G23610	AT4G23620	2676	805	1940	67	A	0	0	0	1
AT1G52580	AT1G52590	2676	1450	1270	42	A	0	0	1	1
AT3G10400	AT3G10405	2681	1092	2833	1091	B	1	0	1	1
AT1G13690	AT1G13700	2693	1024	1672	1	A	0	0	1	1
AT5G60220	AT5G60230	2693	1198	1606	109	A	0	0	1	0
AT5G43770	AT5G43780	2702	678	2092	66	A	1	0	1	0
AT3G52470	AT3G52480	2706	1477	1262	31	A	0	0	1	1
AT5G47670	AT5G47680	2708	1392	1319	1	A	1	0	1	1
AT1G06515	AT1G06500	2713	1548	1259	92	A	1	0	1	1
AT4G25140	AT4G25150	2721	1148	1618	43	A	0	0	1	0
AT3G54080	AT3G54085	2724	1756	1411	441	A	1	1	1	1
AT1G02420	AT1G02430	2745	1572	1283	108	A	0	0	1	1
AT5G64400	AT5G64401	2746	2975	162	161	B	1	0	1	0
AT5G63300	AT5G63310	2764	927	1933	94	A	1	1	1	1
AT1G20065	AT1G20070	2774	1702	1139	65	A	1	1	1	1
AT3G15920	AT3G15930	2775	6625	2247	2246	B	0	0	0	1
AT1G53120	AT1G53130	2793	2028	822	55	A	0	0	1	1
AT5G18210	AT5G18220	2793	1123	1677	5	A	1	0	1	0
AT5G58560	AT5G58570	2796	2365	593	160	A	1	1	1	1
AT3G22183	AT3G22190	2809	243	3028	242	B	1	1	0	0
AT2G42680	AT2G42690	2814	1390	1463	37	A	1	1	1	1
AT4G20030	AT4G20040	2829	1107	1817	93	A	1	0	1	1
AT1G08310	AT1G08315	2842	1806	1093	55	A	1	0	1	1
AT4G38250	AT4G38260	2849	1576	1335	60	A	1	1	1	1
AT2G34460	AT2G34470	2860	1216	1751	105	A	1	0	1	1
AT5G55200	AT5G55210	2873	2023	909	57	A	1	1	1	1
AT1G65030	AT1G65032	2873	1908	986	19	A	1	1	1	1
AT5G01570	AT5G01580	2878	1825	1093	38	A	0	1	1	0
AT1G52330	AT1G52340	2882	1160	1754	30	A	0	1	1	1
AT5G02140	AT5G02150	2885	1236	1788	137	A	1	0	1	1
AT2G24440	AT2G24450	2901	2860	1190	1147	A	0	1	0	0
AT2G32470	AT2G32480	2901	1723	1553	373	A	1	1	0	0
AT2G43340	AT2G43350	2902	964	1956	16	A	1	1	1	1
AT3G15190	AT3G15200	2905	1388	1572	53	A	1	0	1	1
AT4G28310	AT4G28320	2915	810	2130	23	A	1	1	1	1
AT1G17860	AT1G17870	2921	715	2284	76	A	1	1	1	1
AT3G27750	AT3G27770	2927	1067	2072	210	A	1	1	1	1
AT4G38092	AT4G38100	2928	1619	1330	19	A	0	0	1	1
AT3G57360	AT3G57370	2935	1500	1743	306	A	0	0	1	0
AT5G44140	AT5G44150	2937	1176	1798	35	A	1	0	0	0
AT5G19780	AT5G19790	2947	2063	942	56	A	1	0	1	1
AT5G02120	AT5G02130	2947	608	2411	70	A	0	0	1	1
AT4G13160	AT4G13170	2949	1322	3001	1321	B	1	1	1	1
AT5G27200	AT5G27210	2950	1029	2070	147	A	1	0	1	1
AT4G14520	AT4G14530	2955	2019	961	23	A	0	0	1	0
AT3G48320	AT3G48330	2957	1675	1346	62	A	0	1	0	1
AT3G58710	AT3G58720	2960	1859	1454	351	A	1	0	1	1
AT5G12380	AT5G12390	2966	1520	1692	244	A	1	0	1	0
AT4G18370	AT4G18372	2968	2024	1021	75	A	0	1	1	1
AT2G41510	AT2G41515	2972	2943	2087	2056	A	0	0	0	1
AT3G01990	AT3G02000	2973	3034	798	797	B	0	0	1	1
AT4G00650	AT4G00651	2978	2603	393	16	A	1	0	1	1
AT2G47780	AT2G47790	2987	995	2040	46	A	0	0	1	0
AT3G52030	AT3G52040	3003	2444	596	35	A	1	1	1	1
AT2G35765	AT2G35770	3019	555	2520	54	A	0	0	1	0
AT1G05750	AT1G05760	3025	3226	801	800	B	0	0	1	1
AT5G15290	AT5G15300	3034	1082	1957	3	A	0	0	1	1
AT3G13530	AT3G13540	3040	11313	1792	1791	B	0	0	1	0
AT1G76050	AT1G76060	3044	2358	756	68	A	1	1	1	1
AT2G20820	AT2G20825	3044	1370	1688	12	A	0	0	1	1
AT1G66820	AT1G66830	3050	741	3040	729	A	0	0	0	1
AT2G37530	AT2G37540	3052	758	2359	63	A	0	0	1	1
AT5G10530	AT5G10540	3056	3045	10160	3044	B	1	0	1	1
AT5G17580	AT5G17590	3059	2977	844	760	A	0	0	1	1
AT1G23290	AT1G23300	3064	568	3110	567	B	0	0	1	0
AT5G67300	AT5G67310	3064	1985	1871	790	A	1	1	1	1
AT5G59400	AT5G59410	3069	1896	1218	43	A	1	0	1	1
AT1G07010	AT1G07020	3078	2311	786	17	A	0	0	1	1
AT2G20495	AT2G20500	3087	2306	925	142	A	1	1	1	1
AT4G00850	AT4G00860	3092	1993	1101	0	A	1	1	1	1
AT5G05960	AT5G05965	3096	1296	1847	45	A	0	0	1	1
AT1G32870	AT1G32880	3104	2317	808	19	A	1	0	1	0
AT3G10620	AT3G10630	3109	1560	1810	259	A	1	1	1	1
AT3G56250	AT3G56260	3111	2244	1055	186	A	1	0	1	0
AT4G14100	AT4G14090	3113	1647	1648	180	A	1	0	0	0
AT4G01570	AT4G01575	3129	2469	740	78	A	1	1	1	1
AT1G61560	AT1G61562	3137	3387	1114	1113	B	0	0	1	0
AT1G13330	AT1G13340	3154	2664	1593	1101	A	1	0	1	1
AT4G14120	AT4G14130	3157	2278	1249	368	A	1	1	1	1
AT5G28919	AT5G28920	3161	1548	3344	1547	B	1	1	0	0
AT1G15410	AT1G15415	3165	2580	748	161	A	1	0	1	1
AT5G57970	AT5G57980	3171	2304	898	29	A	0	1	1	1
AT5G10610	AT5G10620	3179	1644	1681	144	A	1	1	1	1
AT1G17060	AT1G17065	3185	3395	1728	1727	B	0	0	1	0
AT1G16000	AT1G16010	3187	787	2408	6	A	1	1	1	1
AT5G60620	AT5G60630	3188	2573	755	138	A	1	1	1	1
AT2G16360	AT2G16365	3191	598	5401	597	B	1	1	0	0
AT5G18470	AT5G18475	3197	1339	1884	24	A	1	1	1	1
AT1G52230	AT1G52240	3200	798	2575	171	A	0	0	0	1
AT2G04039	AT2G04040	3202	1205	2281	282	A	0	0	1	1
AT5G27430	AT5G27440	3202	3017	1044	857	A	0	0	1	1
AT5G47640	AT5G47650	3203	1039	2209	43	A	1	1	1	1
AT3G19800	AT3G19810	3208	1485	1726	1	A	1	0	1	1
AT4G26800	AT4G26810	3209	2280	938	7	A	0	0	1	1
AT1G60989	AT1G60990	3211	504	3337	503	B	1	1	1	1
AT2G24480	AT2G24490	3214	597	3426	596	B	1	0	0	0
AT3G51970	AT3G51980	3225	1244	1990	7	A	0	0	1	1
AT2G20540	AT2G20550	3231	2017	1509	293	A	0	0	1	1
AT5G64680	AT5G64685	3232	1335	2031	132	A	1	0	0	0
AT2G24180	AT2G24190	3234	1858	1478	100	A	1	0	1	1
AT5G59750	AT5G59760	3240	2230	1062	50	A	0	0	1	1
AT4G16510	AT4G16515	3243	3237	680	672	A	0	1	1	0
AT5G44930	AT5G44920	3244	3385	1235	1234	B	1	0	1	1
AT3G15518	AT3G15520	3246	556	2847	155	A	1	1	1	1
AT3G10120	AT3G10130	3257	773	3267	772	B	1	0	1	1
AT3G02690	AT3G02700	3265	1964	1349	46	A	1	1	1	1
AT1G80750	AT1G80760	3267	1735	1551	17	A	0	0	1	1
AT1G80890	AT1G80900	3268	1027	2250	7	A	1	1	1	1
AT5G58060	AT5G58070	3269	2191	1356	276	A	1	1	1	1
AT5G39670	AT5G39680	3270	889	2449	66	A	1	0	1	1
AT2G01340	AT2G01350	3271	1307	2083	117	A	1	0	1	1
AT1G77765	AT1G77770	3272	1507	1835	68	A	1	1	1	1
AT4G02040	AT4G02050	3274	801	2514	39	A	0	0	1	1
AT5G35670	AT5G35680	3274	2249	1042	15	A	1	1	1	1
AT4G35410	AT4G35420	3277	1664	1659	44	A	1	0	1	1
AT3G19520	AT3G19530	3278	2876	879	475	A	0	0	0	1
AT2G46100	AT2G46110	3281	1321	2013	51	A	0	1	1	1
AT1G62720	AT1G62730	3286	1619	1760	91	A	0	0	1	1
AT4G25310	AT4G25315	3288	2274	1844	828	A	1	0	1	1
AT5G24165	AT5G24170	3293	1305	1999	9	A	0	0	1	1
AT3G05230	AT3G05240	3297	3314	1698	1697	B	0	0	1	1
AT4G14830	AT4G14840	3302	1251	2494	441	A	1	1	1	1
AT1G71250	AT1G71260	3308	1617	1753	60	A	0	1	1	0
AT1G15810	AT1G15820	3309	2094	1218	1	A	0	0	1	1
AT3G13610	AT3G13620	3323	1553	1834	62	A	1	0	1	1
AT3G27475	AT3G27480	3325	3303	2385	2361	A	0	0	1	0
AT5G51160	AT5G51170	3326	1769	1606	47	A	1	0	1	1
AT2G31953	AT2G31955	3327	645	2719	35	A	0	0	1	0
AT5G03190	AT5G03200	3336	2009	1378	49	A	1	1	1	1
AT1G34630	AT1G34640	3345	2466	966	85	A	1	0	1	1
AT5G03300	AT5G03310	3345	3450	483	482	B	1	0	1	1
AT3G51390	AT3G51400	3348	2503	939	92	A	1	1	1	0
AT5G04600	AT5G04610	3354	3411	1341	1340	B	0	0	1	0
AT5G42980	AT5G42990	3361	1625	1920	182	A	1	1	1	1
AT1G18975	AT1G18980	3362	3292	818	746	A	0	0	1	1
